,Overall Qual,Gr Liv Area,Exter Qual,Kitchen Qual,Total Bsmt SF,Garage Area,1st Flr SF,Bsmt Qual,Year Built,Garage Finish,Year Remod/Add,Fireplace Qu,Full Bath,Foundation_PConc,Mas Vnr Area,Heating QC,Neighborhood_NridgHt,BsmtFin SF 1,Bsmt Exposure,Mas Vnr Type_None,Garage Type_Detchd,Sale Type_New,Garage Type_Attchd,MS SubClass_C060,Foundation_CBlock,BsmtFin Type 1,Exterior 1st_VinylSd,Lot Frontage,Open Porch SF,Exterior 2nd_VinylSd,Wood Deck SF,Mas Vnr Type_Stone,Lot Area,Lot Shape,Paved Drive,Garage Qual,Bsmt Full Bath,Half Bath,MS Zoning_RM,Roof Style_Hip,Garage Cond,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Neighborhood_StoneBr,Roof Style_Gable,2nd Flr SF,MS SubClass_C030,Electrical,MS Zoning_RL,Garage Type_NA,Foundation_BrkTil,Bsmt Cond,Garage Type_BuiltIn,Sale Type_WD ,Land Contour_HLS,Neighborhood_OldTown,House Style_2Story,House Style_1.5Fin,Exterior 1st_Wd Sdng,Bsmt Unf SF,Neighborhood_NAmes,Neighborhood_IDOTRR,MS SubClass_C050,Neighborhood_Edwards,Exterior 2nd_Wd Sdng,Exterior 1st_CemntBd,Lot Config_CulDSac,Fence,Exterior 2nd_CmentBd,Neighborhood_Somerst,Exterior 1st_MetalSd,Exterior 2nd_MetalSd,Bedroom AbvGr,Enclosed Porch,Neighborhood_BrkSide,Screen Porch,Neighborhood_Sawyer,Exterior 1st_AsbShng,MS Zoning_C (all),Functional,Kitchen AbvGr,Condition 1_Artery,Foundation_Slab,Neighborhood_Timber,MS SubClass_C160,Exterior 1st_HdBoard,Condition 1_Feedr,Bldg Type_Twnhs,Neighborhood_MeadowV,Bldg Type_2fmCon,Condition 1_Norm,Exterior 2nd_AsbShng,MS SubClass_C190,Sale Type_COD,Condition 1_PosN,MS Zoning_FV,Bldg Type_1Fam,Bldg Type_Duplex,MS SubClass_C090,Exterior 2nd_HdBoard,MS SubClass_C120
10,6,987,2,2,483.0,264.0,483,3,1971,1,1971,0,1,0,232.0,2,0,387.0,1,0,1,0,0,0,1,5,0,21.0,0,0,0,0,1680,3,2,3,0.0,1,1,0,3,0,1,0,1,504,0,4,0,0,0,3,0,0,0,0,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
11,7,1208,3,3,1208.0,632.0,1208,4,2005,2,2005,0,2,1,0.0,4,0,393.0,3,1,0,0,1,0,0,6,1,64.0,58,1,105,0,7488,2,2,3,0.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,815.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12,5,2016,3,2,0.0,576.0,1288,0,1880,1,2007,3,1,1,0.0,4,0,0.0,0,1,0,0,1,0,0,0,0,120.0,0,0,0,0,26400,3,1,3,0.0,0,0,0,3,0,0,0,1,728,0,4,1,0,0,0,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13,8,1607,3,3,960.0,480.0,962,4,1999,1,2000,0,2,1,456.0,4,0,813.0,1,0,1,0,0,0,0,6,0,24.0,0,0,169,0,2645,3,2,3,1.0,1,0,0,3,0,1,0,1,645,0,4,0,0,0,3,0,0,0,0,1,0,0,147.0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
14,7,1361,3,3,1351.0,610.0,1361,4,2007,2,2007,0,2,1,0.0,4,0,24.0,3,1,0,0,1,0,0,6,1,74.0,50,1,0,0,9627,3,2,3,0.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,1327.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
15,5,1430,2,3,1430.0,624.0,1430,5,2004,2,2005,0,2,1,0.0,4,0,0.0,3,1,0,0,1,0,0,1,1,93.0,0,1,0,0,10114,3,2,3,0.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,1430.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
16,5,1344,2,2,624.0,513.0,624,3,1916,1,1950,0,1,0,0.0,1,0,0.0,1,1,1,0,0,0,0,1,0,34.0,0,0,0,0,4571,3,2,2,0.0,0,1,0,2,0,0,0,1,720,0,4,0,0,1,3,0,0,0,1,1,0,0,624.0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
17,5,1121,2,2,1121.0,480.0,1121,3,1963,1,1963,0,1,1,0.0,2,0,651.0,1,1,1,0,0,0,0,3,1,80.0,80,1,0,0,8816,3,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,470.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,6,1285,2,2,660.0,528.0,1285,3,1977,2,1977,3,1,0,148.0,4,0,0.0,1,0,0,0,1,0,1,1,0,71.0,0,0,138,0,8197,3,2,3,0.0,1,0,0,3,0,1,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,660.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
19,7,1547,2,3,756.0,614.0,764,4,2009,1,2009,0,2,1,0.0,4,0,24.0,2,1,0,0,1,1,0,6,1,72.0,45,1,169,0,8640,3,2,3,0.0,1,0,0,3,0,0,0,1,783,0,4,0,0,0,3,0,0,0,0,1,0,0,732.0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
20,5,894,2,2,894.0,450.0,894,4,1968,3,1968,1,1,0,0.0,3,0,492.0,1,1,0,0,1,0,1,4,1,109.0,0,1,0,0,8724,3,2,3,0.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,402.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
21,8,1659,3,4,1501.0,499.0,1659,4,2000,3,2000,5,2,1,0.0,4,0,1158.0,1,1,0,0,1,0,0,6,0,40.0,59,0,212,0,5664,2,2,3,1.0,0,0,0,3,0,0,1,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,343.0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22,8,2253,3,4,1209.0,575.0,1209,5,2005,3,2006,4,2,1,0.0,4,1,0.0,3,1,0,1,1,1,0,1,0,103.0,142,0,243,0,12867,2,2,3,0.0,1,0,0,3,0,0,0,1,1044,0,4,1,0,0,3,0,0,0,0,1,0,0,1209.0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23,6,1187,2,2,1168.0,420.0,1187,4,1992,3,2007,0,2,1,0.0,4,0,935.0,1,1,0,0,1,0,0,5,0,69.0,21,0,483,0,7980,2,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,233.0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
24,5,1056,2,2,1056.0,572.0,1056,3,1955,3,1955,0,1,0,0.0,2,0,1056.0,2,1,0,0,1,0,1,3,0,100.0,0,0,264,0,34650,3,2,3,1.0,0,0,1,3,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
25,6,1453,2,2,1453.0,530.0,1453,3,1961,2,1961,3,2,0,3.0,4,0,1312.0,1,0,0,0,1,0,1,3,0,92.0,49,0,0,0,10573,2,2,3,1.0,0,0,1,3,0,1,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,141.0,1,0,0,0,0,0,0,4,0,0,1,1,3,0,0,288,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,5,894,2,2,894.0,336.0,894,3,1965,1,2009,4,1,0,0.0,4,0,553.0,1,1,1,0,0,0,1,6,0,65.0,144,0,416,0,8450,3,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,224.0,0,0,0,0,0,0,0,3,0,0,1,1,3,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,5,1938,2,3,942.0,240.0,1265,3,1937,1,1995,4,2,0,0.0,4,0,606.0,1,1,1,0,0,0,1,4,0,69.0,40,0,0,0,11700,2,2,3,0.0,0,0,0,3,0,0,0,1,673,0,4,1,0,0,3,0,1,1,0,0,1,0,336.0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,5,1991,2,2,957.0,0.0,1034,3,1895,0,2006,0,2,0,0.0,1,0,0.0,1,1,0,0,0,0,1,1,1,75.0,0,1,0,0,8250,3,0,0,0.0,0,0,0,0,0,0,0,1,957,0,4,0,1,0,3,0,1,0,0,1,0,0,957.0,0,1,0,0,0,0,0,0,0,0,0,0,4,133,0,0,0,0,1,7,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
29,5,924,2,2,672.0,576.0,672,3,1949,1,2006,1,1,0,0.0,4,0,0.0,2,1,1,0,0,0,1,1,0,60.0,0,0,0,0,8064,3,2,3,0.0,0,0,0,3,0,0,0,1,252,0,4,1,0,0,3,0,1,0,0,0,1,0,672.0,1,0,1,0,0,0,0,3,0,0,1,1,3,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,8,2524,3,3,2524.0,542.0,2524,4,1981,3,1981,4,2,1,0.0,2,0,1104.0,1,1,0,0,1,0,0,5,0,80.0,120,0,474,0,9600,3,2,3,1.0,1,0,1,3,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,1420.0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
31,8,1517,2,3,792.0,400.0,792,4,1929,1,1950,4,1,1,0.0,1,0,0.0,1,1,1,0,0,0,0,1,0,69.0,0,0,0,0,11435,2,2,3,0.0,0,0,0,3,0,0,0,1,725,0,4,1,0,0,3,0,1,1,0,1,0,0,792.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
32,8,1494,3,4,1494.0,481.0,1494,4,1995,3,1996,4,1,1,0.0,4,0,437.0,3,1,0,0,1,0,0,2,0,30.0,30,0,0,0,9549,2,2,3,1.0,1,0,1,3,0,0,0,0,0,0,4,1,0,0,4,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,216,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,6,948,2,2,948.0,410.0,948,3,1952,1,1952,0,1,0,0.0,2,0,441.0,1,1,1,0,0,0,1,5,0,60.0,48,0,0,0,10950,3,0,3,0.0,0,0,1,3,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,1,507.0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34,8,1718,3,3,1705.0,826.0,1718,5,2007,2,2008,4,2,1,336.0,4,0,1288.0,4,0,0,0,1,0,0,6,1,79.0,44,1,208,1,10637,3,2,3,1.0,0,0,1,3,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,417.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,6,1142,2,2,160.0,384.0,1142,4,1958,2,1958,4,1,0,82.0,1,0,0.0,4,0,0,0,0,0,1,1,0,80.0,28,0,0,0,9000,2,2,3,0.0,0,0,0,3,0,1,0,0,0,0,4,1,0,0,3,0,1,1,0,0,0,1,160.0,1,0,0,0,1,0,0,0,0,0,0,0,2,64,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,5,1475,2,2,757.0,336.0,925,3,1977,2,1977,3,2,1,0.0,4,0,548.0,1,1,0,0,1,0,0,5,0,41.0,26,0,104,0,2665,3,2,3,0.0,0,1,0,3,0,0,0,1,550,0,4,0,0,0,3,0,1,0,0,1,0,0,36.0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
37,6,1844,2,2,1844.0,546.0,1844,4,1977,2,1977,3,2,0,480.0,4,0,705.0,1,0,0,0,1,0,1,4,0,105.0,122,0,0,0,11751,2,2,3,0.0,0,0,1,3,0,1,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,1139.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
38,7,1242,2,2,1242.0,528.0,1242,3,1973,1,1973,3,1,0,320.0,1,0,916.0,1,0,0,0,1,0,1,5,0,80.0,0,0,0,0,9600,3,2,3,0.0,1,0,1,3,0,1,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,326.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
39,5,990,2,2,990.0,384.0,990,4,1994,1,1994,0,1,1,0.0,4,0,420.0,1,1,1,0,0,0,0,6,1,60.0,0,1,256,0,8428,1,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,4,0,1,0,0,0,0,0,570.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
40,5,1256,3,2,1256.0,276.0,1256,3,1965,3,1965,0,1,0,0.0,3,0,830.0,1,1,0,0,1,0,1,4,0,75.0,68,0,736,0,9937,3,2,3,1.0,1,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,136.0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
41,10,2076,4,4,2076.0,850.0,2076,5,2006,3,2006,4,2,1,0.0,4,1,1386.0,4,1,0,1,1,0,0,6,1,107.0,229,1,216,0,13891,3,2,3,1.0,1,0,0,3,0,0,0,1,0,0,4,1,0,0,4,0,0,0,0,0,0,0,690.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,5,1110,2,3,1097.0,602.0,1110,4,1978,3,1978,3,1,1,104.0,4,0,1097.0,3,0,0,0,1,0,0,6,0,69.0,30,0,303,0,9101,2,2,3,1.0,0,0,0,3,0,1,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,5,1795,2,2,1050.0,352.0,1050,3,1954,1,1954,0,2,0,335.0,4,0,0.0,1,0,0,0,1,0,0,1,0,81.0,0,0,0,0,12150,3,2,2,0.0,0,1,0,3,0,1,0,1,745,0,2,0,0,1,3,0,1,0,1,0,1,0,1050.0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44,5,1040,2,2,1040.0,384.0,1040,3,1965,1,1965,0,1,0,0.0,4,0,906.0,1,1,1,0,0,0,1,3,0,70.0,0,0,0,0,11200,3,2,3,1.0,0,0,1,3,0,0,0,0,0,0,4,1,0,0,3,0,1,0,0,0,0,0,134.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
45,8,1873,2,2,608.0,786.0,983,3,1935,3,1950,4,1,1,40.0,2,0,210.0,1,0,1,0,0,0,0,2,0,100.0,0,0,0,1,9670,2,2,2,0.0,1,0,0,3,0,0,0,1,890,0,4,1,0,0,2,0,1,1,0,1,0,0,398.0,0,0,0,0,0,0,0,0,0,0,0,0,4,207,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
46,5,1604,2,2,984.0,660.0,984,3,1941,1,1960,0,2,0,0.0,4,0,408.0,1,1,1,0,0,0,1,2,0,60.0,68,0,0,0,10998,3,2,3,0.0,0,0,0,3,0,0,0,1,620,0,4,1,0,0,3,0,1,0,0,0,1,1,156.0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,7,1502,2,2,776.0,270.0,851,4,1931,2,2000,4,1,0,0.0,2,0,0.0,1,1,0,0,1,0,0,1,0,60.0,0,0,0,0,7200,3,1,3,0.0,1,0,0,3,0,0,0,1,651,0,4,1,0,1,3,0,1,1,0,1,0,0,776.0,0,0,0,0,0,0,0,3,0,0,0,0,3,112,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
48,5,1063,2,2,1056.0,280.0,1063,3,1954,2,1954,0,1,0,110.0,2,0,354.0,1,0,0,0,1,0,1,3,0,80.0,0,0,0,1,9920,3,2,3,1.0,0,0,0,3,0,0,0,1,0,0,4,1,0,0,3,0,1,0,0,0,0,0,412.0,1,0,0,0,0,0,0,3,0,0,0,0,3,164,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
49,7,1626,3,3,764.0,474.0,764,4,2003,2,2004,0,2,1,106.0,4,1,0.0,1,0,0,0,0,0,0,1,1,36.0,27,0,0,1,2448,3,2,3,0.0,1,0,0,3,0,0,0,1,862,0,4,1,0,0,3,1,1,0,0,1,0,0,764.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
50,6,1524,3,3,756.0,440.0,768,4,2000,1,2000,0,2,1,513.0,4,0,353.0,1,0,1,0,0,0,0,6,0,69.0,32,0,0,0,2998,3,2,3,0.0,1,0,0,3,0,1,0,1,756,0,4,0,0,0,3,0,1,0,0,1,0,0,403.0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,4,1981,2,3,1122.0,576.0,1328,3,1928,1,1950,3,2,0,0.0,2,0,622.0,1,1,1,0,0,0,0,4,0,65.0,44,0,431,0,7804,3,2,3,1.0,0,0,0,3,0,0,0,1,653,0,4,1,0,1,3,0,1,0,0,0,1,0,500.0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
52,7,2784,2,3,1392.0,564.0,1392,4,1978,2,1978,3,3,0,184.0,2,0,790.0,1,0,0,0,1,1,1,4,0,80.0,112,0,0,0,16692,2,2,3,1.0,1,0,0,3,0,1,0,1,1392,0,4,1,0,0,3,0,1,0,0,1,0,0,133.0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,440,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
