,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Misc Val,Mo Sold,Yr Sold,Sale Type
12,C070,RL,120.0,26400,3,Bnk,3,FR2,2,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,0.0,3,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,4,4,1288,728,0,2016,0.0,0.0,1,0,4,1,2,4,3,Attchd,1,576.0,3,3,1,0,0,0,0,0,0,0,0,6,2009,WD 
13,C160,FV,24.0,2645,3,Lvl,3,Inside,2,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,4,4,962,645,0,1607,1.0,0.0,2,1,3,1,3,7,0,Detchd,1,480.0,3,3,2,169,0,0,0,0,0,0,0,12,2008,ConLD
14,C020,RL,74.0,9627,3,Lvl,3,Inside,2,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,3,2,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,4,4,1361,0,0,1361,0.0,0.0,2,0,3,1,3,7,0,Attchd,2,610.0,3,3,2,0,50,0,0,0,0,0,0,6,2008,WD 
15,C020,RL,93.0,10114,3,Lvl,3,Inside,2,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,4,4,1430,0,0,1430,0.0,0.0,2,0,3,1,3,7,0,Attchd,2,624.0,3,3,2,0,0,0,0,0,0,0,0,3,2010,WD 
16,C070,RM,34.0,4571,3,Lvl,3,Inside,2,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,1,4,624,720,0,1344,0.0,0.0,1,0,4,1,2,7,0,Detchd,1,513.0,2,2,2,0,0,96,0,0,0,0,0,5,2008,COD
17,C020,RL,80.0,8816,3,Lvl,3,Corner,2,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,2,4,1121,0,0,1121,1.0,0.0,1,0,3,1,2,7,0,Detchd,1,480.0,3,3,2,0,80,0,0,0,0,3,0,6,2009,WD 
18,C020,RL,71.0,8197,3,Lvl,3,Inside,2,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,148.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,4,4,1285,0,0,1285,0.0,0.0,1,1,3,1,2,7,3,Attchd,2,528.0,3,3,2,138,0,0,0,0,0,3,0,4,2007,WD 
19,C060,FV,72.0,8640,3,Lvl,3,Inside,2,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,4,4,764,783,0,1547,0.0,0.0,2,1,3,1,3,7,0,Attchd,1,614.0,3,3,2,169,45,0,0,0,0,0,0,6,2010,Con
20,C020,RL,109.0,8724,3,Lvl,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,3,4,894,0,0,894,0.0,0.0,1,0,3,1,2,7,1,Attchd,3,450.0,3,3,2,0,0,0,0,0,0,0,0,5,2007,WD 
21,C120,RL,40.0,5664,2,Lvl,3,Inside,2,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,0.0,3,2,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,4,4,1659,0,0,1659,1.0,0.0,2,0,2,1,4,7,5,Attchd,3,499.0,3,3,2,212,59,0,0,0,0,0,0,10,2009,WD 
22,C060,RL,103.0,12867,2,Lvl,3,Corner,2,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,None,0.0,3,2,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,4,4,1209,1044,0,2253,0.0,0.0,2,1,3,1,4,7,4,Attchd,3,575.0,3,3,2,243,142,0,0,0,0,0,0,7,2006,New
23,C020,RL,69.0,7980,2,Lvl,3,Inside,2,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,0.0,2,3,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,4,4,1187,0,0,1187,1.0,0.0,2,0,3,1,2,7,0,Attchd,3,420.0,3,3,2,483,21,0,0,0,0,4,500,3,2010,WD 
24,C190,RL,100.0,34650,3,Bnk,3,Inside,2,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,2,4,1056,0,0,1056,1.0,0.0,1,0,3,1,2,7,0,Attchd,3,572.0,3,3,2,264,0,0,0,0,0,0,0,1,2006,WD 
25,C020,RL,92.0,10573,2,Lvl,3,Corner,2,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,2,2,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,4,4,1453,0,0,1453,1.0,0.0,2,0,3,1,2,7,3,Attchd,2,530.0,3,3,2,0,49,0,0,288,0,4,0,4,2009,WD 
26,C020,RL,65.0,8450,3,Lvl,3,Inside,2,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,4,4,894,0,0,894,1.0,0.0,1,0,3,1,2,7,4,Detchd,1,336.0,3,3,2,416,144,0,0,0,0,3,0,4,2010,WD 
27,C050,RL,69.0,11700,2,HLS,3,Inside,1,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,0.0,2,2,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,4,4,1265,673,0,1938,0.0,0.0,2,0,4,1,3,5,4,Detchd,1,240.0,3,3,2,0,40,0,0,0,0,0,0,7,2008,WD 
28,C190,C (all),75.0,8250,3,Lvl,3,Inside,2,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,1,4,1034,957,0,1991,0.0,0.0,2,0,4,2,2,7,0,NA,0,0.0,0,0,0,0,0,133,0,0,0,0,0,6,2007,WD 
29,C050,RL,60.0,8064,3,Lvl,3,Corner,2,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,4,4,672,252,0,924,0.0,0.0,1,0,3,1,2,7,1,Detchd,1,576.0,3,3,2,0,0,0,0,0,0,3,2000,7,2007,WD 
30,C020,RL,80.0,9600,3,Lvl,3,Inside,2,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,0.0,3,2,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,2,4,2524,0,0,2524,1.0,0.0,2,1,4,1,3,7,4,Attchd,3,542.0,3,3,2,474,120,0,0,0,0,3,0,7,2009,WD 
31,C070,RL,69.0,11435,2,HLS,3,Corner,1,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,1,4,792,725,0,1517,0.0,0.0,1,0,3,1,3,7,4,Detchd,1,400.0,3,3,2,0,0,0,0,0,0,0,0,6,2006,WD 
32,C120,RL,30.0,9549,2,Lvl,3,CulDSac,2,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,0.0,3,3,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,4,4,1494,0,0,1494,1.0,0.0,1,1,2,1,4,7,4,Attchd,3,481.0,3,3,2,0,30,0,0,216,0,0,0,4,2006,WD 
33,C020,RL,60.0,10950,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,2,4,948,0,0,948,0.0,0.0,1,0,2,1,2,7,0,Detchd,1,410.0,3,3,0,0,48,0,0,0,0,0,0,4,2007,WD 
34,C020,RL,79.0,10637,3,Lvl,3,Inside,2,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,336.0,3,2,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,4,4,1718,0,0,1718,1.0,0.0,2,0,3,1,3,7,4,Attchd,2,826.0,3,3,2,208,44,0,0,0,0,0,0,9,2009,WD 
35,C020,RL,80.0,9000,2,HLS,3,Inside,1,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,2,2,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,1,4,1142,0,0,1142,0.0,0.0,1,0,2,1,2,7,4,Basment,2,384.0,3,3,2,0,28,64,0,0,0,0,0,4,2009,WD 
36,C160,RM,41.0,2665,3,Lvl,3,Inside,2,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,0.0,2,2,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,4,4,925,550,0,1475,0.0,0.0,2,0,4,1,2,7,3,Attchd,2,336.0,3,3,2,104,26,0,0,0,0,0,0,7,2006,WD 
37,C020,RL,105.0,11751,2,Lvl,3,Inside,2,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480.0,2,2,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,4,4,1844,0,0,1844,0.0,0.0,2,0,3,1,2,7,3,Attchd,2,546.0,3,3,2,0,122,0,0,0,0,3,0,1,2010,COD
38,C020,RL,80.0,9600,3,Lvl,3,Inside,2,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,2,2,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,1,4,1242,0,0,1242,0.0,0.0,1,1,3,1,2,7,3,Attchd,1,528.0,3,3,2,0,0,0,0,0,0,0,0,9,2007,WD 
39,C020,RL,60.0,8428,1,Lvl,3,Inside,2,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,0.0,2,3,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,4,4,990,0,0,990,1.0,0.0,1,0,3,1,2,7,0,Detchd,1,384.0,3,3,2,256,0,0,0,0,0,0,0,7,2007,WD 
40,C020,RL,75.0,9937,3,Lvl,3,Inside,2,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,3,2,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,3,4,1256,0,0,1256,1.0,0.0,1,1,3,1,2,7,0,Attchd,3,276.0,3,3,2,736,68,0,0,0,0,0,0,6,2008,WD 
41,C020,RL,107.0,13891,3,Lvl,3,Inside,2,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,None,0.0,4,2,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,4,4,2076,0,0,2076,1.0,0.0,2,1,2,1,4,7,4,Attchd,3,850.0,3,3,2,216,229,0,0,0,0,0,0,9,2006,New
42,C085,RL,69.0,9101,2,Lvl,3,Corner,2,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,104.0,2,3,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,4,4,1110,0,0,1110,1.0,0.0,1,0,1,1,3,7,3,Attchd,3,602.0,3,3,2,303,30,0,0,0,0,0,0,7,2009,WD 
43,C050,RM,81.0,12150,3,Lvl,3,Inside,2,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,4,2,1050,745,0,1795,0.0,0.0,2,0,4,1,2,7,0,Attchd,1,352.0,2,3,2,0,0,0,0,0,0,0,0,11,2008,WD 
44,C020,RL,70.0,11200,3,Lvl,3,Inside,2,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,4,4,1040,0,0,1040,1.0,0.0,1,0,3,1,2,7,0,Detchd,1,384.0,3,3,2,0,0,0,0,0,0,0,0,2,2008,WD 
45,C070,RL,100.0,9670,2,HLS,3,Inside,1,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,40.0,2,2,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,2,4,983,890,0,1873,0.0,0.0,1,1,4,1,2,7,4,Detchd,3,786.0,2,3,2,0,0,207,0,0,0,0,0,6,2008,WD 
46,C050,RL,60.0,10998,3,Lvl,3,Inside,2,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,4,4,984,620,0,1604,0.0,0.0,2,0,3,1,2,5,0,Detchd,1,660.0,3,3,2,0,68,0,0,0,0,0,0,7,2009,WD 
47,C070,RL,60.0,7200,3,HLS,3,Inside,1,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,0.0,2,1,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,2,4,851,651,0,1502,0.0,0.0,1,1,3,1,2,7,4,Attchd,2,270.0,3,3,1,0,0,112,0,0,0,3,0,2,2008,WD 
48,C020,RL,80.0,9920,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,110.0,2,2,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,2,4,1063,0,0,1063,1.0,0.0,1,0,3,1,2,7,0,Attchd,2,280.0,3,3,2,0,0,164,0,0,0,3,0,2,2010,WD 
49,C160,RL,36.0,2448,3,Lvl,3,Inside,2,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,106.0,3,2,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,4,4,764,862,0,1626,0.0,0.0,2,1,2,1,3,7,0,BuiltIn,2,474.0,3,3,2,0,27,0,0,0,0,0,0,10,2008,WD 
50,C160,FV,69.0,2998,3,Lvl,3,Inside,2,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,3,2,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,4,4,768,756,0,1524,0.0,0.0,2,1,2,1,3,7,0,Detchd,1,440.0,3,3,2,0,32,0,0,0,0,0,0,6,2006,WD 
51,C050,RL,65.0,7804,3,Lvl,3,Inside,2,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,0.0,2,2,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,2,4,1328,653,0,1981,1.0,0.0,2,0,4,1,3,5,3,Detchd,1,576.0,3,3,2,431,44,0,0,0,0,3,0,12,2009,WD 
52,C060,RL,80.0,16692,2,Lvl,3,Inside,2,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,184.0,2,2,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,2,4,1392,1392,0,2784,1.0,0.0,3,1,5,1,3,7,3,Attchd,2,564.0,3,3,2,0,112,0,0,440,519,3,2000,7,2006,WD 
53,C160,RM,21.0,1476,3,Lvl,3,Inside,2,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,0.0,2,2,CBlock,3,3,1,6,176.0,1,0.0,370.0,546.0,4,4,546,546,0,1092,0.0,0.0,1,1,3,1,2,7,0,NA,0,0.0,0,0,2,200,26,0,0,0,0,0,0,3,2010,WD 
54,C020,RL,75.0,10170,3,Lvl,3,Corner,2,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,216.0,216.0,2,4,1575,0,0,1575,0.0,0.0,1,1,2,1,3,7,4,Attchd,1,400.0,3,3,2,0,0,0,0,0,0,0,0,6,2006,WD 
55,C060,RL,80.0,9364,3,Lvl,3,Corner,2,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,143.0,2,2,CBlock,3,3,1,5,371.0,1,0.0,292.0,663.0,2,4,663,689,0,1352,0.0,0.0,1,1,4,1,2,7,0,Attchd,3,299.0,3,3,2,379,36,0,0,0,0,3,0,3,2010,WD 
56,C160,FV,24.0,2544,3,Lvl,3,Inside,2,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,0.0,3,2,PConc,4,3,1,6,368.0,5,42.0,190.0,600.0,4,4,600,600,0,1200,1.0,0.0,2,1,2,1,3,7,0,Detchd,2,480.0,3,3,2,0,172,0,0,0,0,0,0,2,2010,WD 
57,C020,RL,82.0,9888,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,3,1,4,486.0,1,0.0,450.0,936.0,2,3,936,0,0,936,0.0,0.0,1,0,2,1,2,7,0,Attchd,1,240.0,3,3,2,0,0,160,0,0,0,3,0,3,2006,WD 
58,C020,RL,68.0,7942,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,1,3,85.0,5,955.0,0.0,1040.0,2,2,1040,0,0,1040,0.0,1.0,1,0,3,1,2,7,0,Attchd,3,293.0,3,3,2,0,0,0,0,0,0,3,0,6,2007,WD 
59,C060,RL,69.0,15038,1,Lvl,3,Corner,2,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,0.0,2,2,PConc,4,3,1,3,138.0,1,0.0,778.0,916.0,3,4,916,720,0,1636,0.0,0.0,2,1,3,1,2,7,3,Attchd,3,386.0,3,3,2,168,84,0,0,0,0,0,0,11,2008,WD 
60,C060,RL,92.0,11764,2,Lvl,3,CulDSac,2,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,3,2,PConc,4,3,1,6,524.0,1,0.0,628.0,1152.0,4,4,1164,1106,0,2270,0.0,0.0,2,1,4,1,3,7,4,Attchd,3,671.0,3,3,2,132,57,0,0,0,0,0,0,4,2010,WD 
61,C060,FV,75.0,9000,3,Lvl,3,Inside,2,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,None,0.0,3,2,PConc,4,3,3,6,64.0,1,0.0,1120.0,1184.0,4,4,1184,1426,0,2610,0.0,0.0,2,1,4,1,4,7,4,BuiltIn,3,550.0,3,3,2,208,364,0,0,0,0,0,0,8,2007,New
62,C020,RL,69.0,20062,2,Low,3,Inside,1,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,4,3,4,5,1092.0,1,0.0,328.0,1420.0,3,4,1483,0,0,1483,1.0,0.0,1,1,1,1,2,7,3,Attchd,2,690.0,3,3,2,496,0,0,0,0,0,0,0,4,2010,WD 
63,C050,RM,81.0,7308,3,Lvl,3,Corner,2,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,None,0.0,1,1,BrkTil,3,3,1,3,360.0,1,0.0,576.0,936.0,3,3,960,780,0,1740,0.0,0.0,1,0,2,1,4,7,4,Detchd,1,225.0,2,2,0,0,0,236,0,0,0,0,0,6,2008,WD 
64,C020,RL,70.0,8750,3,Lvl,3,Inside,2,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,None,0.0,2,2,CBlock,3,3,1,3,172.0,2,483.0,727.0,1382.0,3,3,1382,0,0,1382,0.0,1.0,1,0,3,1,3,7,0,Attchd,1,350.0,3,3,2,280,0,0,0,0,0,2,0,7,2009,WD 
65,C020,RL,70.0,8402,3,Lvl,3,Inside,2,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,5,206.0,1,0.0,914.0,1120.0,4,4,1120,0,0,1120,0.0,0.0,1,0,3,1,2,7,0,NA,0,0.0,0,0,2,0,30,0,0,0,0,0,0,12,2007,New
