,Total SF,Overall Qual,Interior Qual,Neighborhood Score,Exter Qual,Year Remod/Add,Foundation_PConc,BsmtFin SF 1,Bsmt Exposure,Mas Vnr Type_None,Garage Type_Detchd,Sale Type_New,MS SubClass_C060,Foundation_CBlock,Lot Frontage,Mas Vnr Type_Stone,Lot Area,Half Bath,Roof Style_Hip,Mas Vnr Type_BrkFace,Garage Type_NA,Foundation_BrkTil,Garage Type_BuiltIn,Land Contour_HLS
23,3279.0,6,23,34.913793103448285,2,2007,1,935.0,1,1,0,0,0,0,69.0,0,7980,0,0,0,0,0,0,0
24,2948.0,5,20,34.913793103448285,2,1955,0,1056.0,2,1,0,0,0,1,100.0,0,34650,0,1,0,0,0,0,0
25,3776.0,6,25,30.33225806451613,2,1961,0,1312.0,1,0,0,0,0,1,92.0,0,10573,0,1,1,0,0,0,0
26,2684.0,5,26,29.990990990990987,2,2009,0,553.0,1,1,1,0,0,1,65.0,0,8450,0,0,0,0,0,0,0
27,3160.0,5,27,35.43661971830985,2,1995,0,606.0,1,1,1,0,0,1,69.0,0,11700,0,0,0,0,0,0,1
28,3081.0,5,13,25.6231884057971,2,2006,0,0.0,1,1,0,0,0,1,75.0,0,8250,0,0,0,1,0,0,0
29,2172.0,5,23,30.33225806451613,2,2006,0,0.0,2,1,1,0,0,1,60.0,0,8064,0,0,0,0,0,0,0
30,6184.0,8,26,33.87356321839081,3,1981,1,1104.0,1,1,0,0,0,0,80.0,0,9600,1,1,0,0,0,0,0
31,2709.0,8,25,35.43661971830985,2,1950,1,0.0,1,1,1,0,0,0,69.0,0,11435,0,0,0,0,0,0,1
32,3715.0,8,30,37.70588235294117,3,1996,1,437.0,3,1,0,0,0,0,30.0,0,9549,1,1,0,0,0,0,0
33,2354.0,6,20,30.33225806451613,2,1952,0,441.0,1,1,1,0,0,1,60.0,0,10950,0,1,0,0,0,0,0
34,4837.0,8,29,34.5,3,2008,1,1288.0,4,0,0,0,0,0,79.0,1,10637,0,1,0,0,0,0,0
35,1860.0,6,24,30.33225806451613,2,1958,0,0.0,4,0,0,0,0,1,80.0,0,9000,0,0,1,0,0,0,1
36,2698.0,5,25,27.41666666666667,2,1977,1,548.0,1,1,0,0,0,0,41.0,0,2665,0,0,0,0,0,0,0
37,4836.0,6,26,33.87356321839081,2,1977,0,705.0,1,0,0,0,0,1,105.0,0,11751,0,1,1,0,0,0,0
38,3332.0,7,22,33.87356321839081,2,1973,0,916.0,1,0,0,0,0,1,80.0,0,9600,1,1,1,0,0,0,0
39,2620.0,5,24,34.5,2,1994,1,420.0,1,1,1,0,0,0,60.0,0,8428,0,0,0,0,0,0,0
40,3592.0,5,21,28.17021276595745,3,1965,0,830.0,1,1,0,0,0,1,75.0,0,9937,1,0,0,0,0,0,0
41,5447.0,10,31,40.459016393442624,4,2006,1,1386.0,4,1,0,1,0,0,107.0,0,13891,1,0,0,0,0,0,0
42,3246.0,5,27,31.02439024390244,2,1978,1,1097.0,3,0,0,0,0,0,69.0,0,9101,0,0,1,0,0,0,0
43,3532.0,5,19,29.607361963190183,2,1954,0,0.0,1,0,0,0,0,0,81.0,0,12150,0,0,1,0,1,0,0
44,2464.0,5,22,29.990990990990987,2,1965,0,906.0,1,1,1,0,0,1,70.0,0,11200,0,1,0,0,0,0,0
45,3514.0,8,22,35.43661971830985,2,1950,1,210.0,1,0,1,0,0,0,100.0,1,9670,1,0,0,0,0,0,1
46,3316.0,5,22,28.17021276595745,2,1960,0,408.0,1,1,1,0,0,1,60.0,0,10998,0,0,0,0,0,0,0
47,2660.0,7,25,35.43661971830985,2,2000,0,0.0,1,1,0,0,0,0,60.0,0,7200,1,0,0,0,1,0,1
48,2673.0,5,20,30.33225806451613,2,1954,0,354.0,1,0,0,0,0,1,80.0,1,9920,0,0,0,0,0,0,0
49,2997.0,7,24,40.459016393442624,3,2004,1,0.0,1,0,0,0,0,0,36.0,1,2448,1,0,0,0,0,1,0
50,3265.0,6,24,36.49230769230768,3,2000,1,353.0,1,0,1,0,0,0,69.0,0,2998,1,0,1,0,0,0,0
51,4154.0,4,24,29.5625,2,1950,0,622.0,1,1,1,0,0,0,65.0,0,7804,0,0,0,0,1,0,0
52,5995.0,7,25,33.87356321839081,2,1978,0,790.0,1,0,0,0,1,1,80.0,0,16692,1,0,1,0,0,0,0
53,1864.0,4,16,27.41666666666667,2,1970,0,176.0,1,1,0,0,0,1,21.0,0,1476,1,0,0,1,0,0,0
54,2713.0,6,25,30.33225806451613,2,1951,0,0.0,1,0,0,0,0,1,75.0,0,10170,1,1,1,0,0,0,0
55,2872.0,6,20,29.990990990990987,2,1969,0,371.0,1,0,0,0,1,1,80.0,1,9364,1,0,0,0,0,0,0
56,2452.0,7,24,36.49230769230768,3,2005,1,368.0,1,1,1,0,0,0,24.0,0,2544,1,0,0,0,0,0,0
57,2272.0,5,19,30.33225806451613,2,1975,0,486.0,1,1,0,0,0,1,82.0,0,9888,0,0,0,0,0,0,0
58,2373.0,6,18,30.33225806451613,2,1953,0,85.0,1,1,0,0,0,1,68.0,0,7942,0,1,0,0,0,0,0
59,3190.0,6,25,34.913793103448285,2,1996,1,138.0,1,1,0,0,1,0,69.0,0,15038,1,0,0,0,0,0,0
60,4630.0,8,28,38.60416666666666,3,2007,1,524.0,1,0,0,0,1,0,92.0,0,11764,1,0,1,0,0,0,0
61,4916.0,8,29,36.49230769230768,3,2007,1,64.0,3,1,0,1,1,0,75.0,0,9000,1,0,0,0,0,1,0
62,4089.0,7,25,33.814814814814824,3,2001,0,1092.0,4,1,0,0,0,1,69.0,0,20062,1,1,0,0,0,0,0
63,3137.0,5,24,29.607361963190183,1,1950,0,360.0,1,1,1,0,0,0,81.0,0,7308,0,0,0,0,1,0,0
64,3394.0,5,21,30.33225806451613,2,1955,0,172.0,1,1,0,0,0,1,70.0,0,8750,0,0,0,0,0,0,0
65,2270.0,5,17,31.02439024390244,2,2007,1,206.0,1,1,0,1,0,0,70.0,0,8402,0,0,0,1,0,0,0
66,1845.0,7,25,35.43661971830985,2,1995,0,246.0,1,1,1,0,0,0,63.0,0,4000,0,0,0,0,1,0,0
67,3221.0,7,24,28.17021276595745,3,2004,1,0.0,1,0,1,0,0,0,32.0,1,3363,0,0,0,0,0,0,0
68,5220.0,9,30,40.459016393442624,4,2006,1,0.0,4,0,0,0,0,0,94.0,1,13615,1,1,0,0,0,0,1
69,3615.0,7,28,37.68181818181818,3,2005,1,16.0,4,0,0,0,0,0,43.0,0,3013,0,0,1,0,0,0,0
70,3684.0,7,27,28.17021276595745,3,2010,1,1346.0,4,0,0,0,0,0,44.0,1,17485,0,0,0,0,0,0,0
71,5564.0,7,25,31.02439024390244,3,1997,1,700.0,2,0,0,0,0,0,69.0,0,23730,0,0,1,0,0,0,0
72,2580.0,6,24,30.33225806451613,2,1959,0,655.0,2,1,0,0,0,1,79.0,0,8910,0,1,0,0,0,1,0
73,3149.0,7,24,28.17021276595745,3,2004,1,0.0,1,0,1,0,0,0,24.0,1,2522,0,0,0,0,0,0,0
74,4561.0,7,24,36.49230769230768,3,2005,1,0.0,3,0,0,0,0,0,73.0,0,8688,0,0,1,0,0,0,0
75,2060.0,6,20,25.6231884057971,3,1950,0,0.0,1,1,1,0,0,0,69.0,0,6291,0,0,0,0,1,0,0
76,2247.0,5,18,29.990990990990987,2,1950,0,0.0,1,0,1,0,0,0,69.0,1,17529,0,0,0,0,1,0,0
77,1416.0,4,17,29.921052631578952,2,1950,0,0.0,1,1,1,0,0,0,60.0,0,6324,0,0,0,0,1,0,0
78,4220.0,5,19,30.33225806451613,2,1960,0,443.0,1,0,1,0,0,1,80.0,0,11600,0,0,1,0,0,0,0
79,2713.0,5,14,25.6231884057971,3,2003,0,0.0,1,1,0,0,0,0,50.0,0,7288,0,0,0,1,1,0,0
80,2751.0,5,20,29.607361963190183,2,1950,0,168.0,1,1,1,0,0,0,35.0,0,4571,0,0,0,0,1,0,0
81,6424.0,9,30,39.42105263157895,4,2009,1,1904.0,1,0,0,1,0,0,63.0,1,17423,0,1,0,0,0,0,0
82,3624.0,5,25,29.607361963190183,2,1950,0,0.0,2,1,1,0,0,0,100.0,0,12665,1,0,0,0,1,0,0
83,2504.0,4,21,30.33225806451613,2,2006,0,240.0,1,1,1,0,0,1,60.0,0,9000,0,0,0,0,0,0,0
84,3089.0,6,24,31.02439024390244,2,1997,1,864.0,1,0,0,0,0,0,32.0,0,4500,0,1,1,0,0,0,0
85,4782.0,9,30,40.459016393442624,4,2006,1,415.0,1,0,0,1,0,0,48.0,0,6373,0,1,1,0,0,0,0
86,2972.0,7,24,33.13793103448276,3,2003,1,833.0,1,1,0,0,0,0,67.0,0,10083,0,0,0,0,0,0,0
87,2525.0,5,21,30.33225806451613,2,2000,0,377.0,1,1,0,0,0,1,70.0,0,13300,0,1,0,0,0,0,0
88,3577.0,5,23,33.87356321839081,2,1969,0,553.0,2,0,0,0,0,1,80.0,0,9600,0,0,1,0,0,0,0
89,2572.0,7,24,36.49230769230768,3,2004,1,280.0,3,0,1,0,0,0,30.0,0,3215,1,0,1,0,0,0,0
90,3586.0,6,21,33.87356321839081,2,1969,0,828.0,3,1,0,0,0,1,69.0,0,11104,0,0,0,0,0,0,0
91,3971.0,7,27,34.5,3,2002,1,762.0,2,0,0,0,1,0,69.0,0,15295,1,0,1,0,0,0,0
92,2961.0,7,24,33.13793103448276,3,1994,1,36.0,1,1,0,0,1,0,70.0,0,9109,1,0,0,0,0,0,0
93,1935.0,5,14,33.13793103448276,2,1979,0,0.0,0,1,0,0,0,0,64.0,0,7018,0,0,0,0,0,0,0
94,3101.0,5,24,30.33225806451613,2,1964,1,1014.0,3,0,0,0,0,0,69.0,0,14112,0,1,1,0,0,0,0
95,2866.0,8,24,36.49230769230768,3,2007,1,60.0,1,0,0,1,0,0,80.0,1,3523,0,0,0,0,0,0,0
96,2950.0,6,25,29.990990990990987,2,1960,0,588.0,3,0,0,0,0,1,88.0,0,15312,0,1,1,0,0,0,0
97,2436.0,5,26,30.33225806451613,2,1956,0,438.0,1,1,1,0,0,1,74.0,0,7450,0,1,0,0,0,0,0
98,4174.0,9,30,40.459016393442624,4,2005,1,1153.0,1,0,0,0,0,0,60.0,0,7313,0,1,1,0,0,0,0
99,5834.0,8,29,38.60416666666666,3,1995,1,527.0,1,0,0,0,1,0,83.0,0,10019,1,1,1,0,0,0,0
100,5024.0,9,30,39.42105263157895,4,2004,1,1337.0,4,0,0,0,0,0,53.0,0,15401,0,1,1,0,0,0,1
101,1277.0,4,16,28.17021276595745,2,2002,0,348.0,2,1,0,0,0,0,58.0,0,9098,0,0,0,1,1,0,0
102,4017.0,8,31,37.70588235294117,4,2007,0,1044.0,2,1,0,0,0,1,103.0,0,16280,0,0,0,0,0,0,0
103,1172.0,3,13,25.6231884057971,2,1950,0,0.0,1,1,0,0,0,1,72.0,0,9392,0,0,0,1,0,0,0
104,3642.0,6,28,31.02439024390244,2,2002,1,690.0,1,1,0,0,1,0,71.0,0,12209,1,0,0,0,0,1,0
105,3284.0,5,23,33.87356321839081,2,1972,0,962.0,1,0,0,0,0,1,79.0,0,13110,0,0,1,0,0,0,0
106,2748.0,7,24,36.49230769230768,3,2000,1,641.0,1,1,1,0,0,0,69.0,0,2651,1,0,0,0,0,0,0
107,3559.0,6,25,29.607361963190183,2,1950,0,168.0,1,1,1,0,0,0,60.0,0,8520,0,0,0,0,1,0,0
108,4736.0,6,29,30.33225806451613,2,1957,0,1110.0,4,0,0,0,0,1,69.0,1,39384,1,0,0,0,0,0,0
109,2997.0,7,24,40.459016393442624,3,2003,1,0.0,1,0,0,0,0,0,36.0,1,2628,1,0,0,0,0,1,0
110,2866.0,5,23,29.607361963190183,2,1950,0,421.0,1,1,1,0,0,0,57.0,0,6406,1,0,0,0,1,0,0
111,2722.0,5,23,30.33225806451613,2,1978,0,0.0,1,1,0,0,0,1,69.0,0,12342,0,1,0,0,0,0,0
112,3011.0,5,24,29.921052631578952,2,1992,1,0.0,1,1,1,0,0,0,52.0,0,6240,0,0,0,0,0,0,0
113,3318.0,6,20,30.33225806451613,2,1962,0,0.0,1,0,0,0,0,1,87.0,0,10000,1,1,1,0,0,0,0
114,760.0,2,6,29.990990990990987,2,1950,0,0.0,0,1,0,0,0,0,69.0,0,9000,0,0,0,1,0,0,0
115,3470.0,6,24,33.87356321839081,2,1998,1,832.0,1,0,0,0,0,0,80.0,0,11088,0,0,1,0,0,0,0
116,3832.0,5,23,28.17021276595745,2,1959,0,176.0,1,0,0,0,0,1,134.0,0,17755,1,0,1,0,0,0,0
117,4305.0,9,28,36.49230769230768,3,2000,1,1027.0,3,0,0,0,0,0,69.0,0,4765,0,1,1,0,0,0,0
118,3744.0,5,24,33.814814814814824,2,1960,0,988.0,2,0,0,0,0,1,69.0,1,10532,0,0,0,0,0,0,0
119,3537.0,6,24,34.5,2,1997,1,821.0,1,1,0,0,1,0,65.0,0,15426,1,0,0,0,0,0,0
120,2136.0,5,20,28.17021276595745,2,1969,0,290.0,1,1,0,0,0,1,63.0,0,13907,0,0,0,1,0,0,0
121,2863.0,5,20,30.33225806451613,2,1956,0,435.0,1,1,0,0,0,1,70.0,0,8750,0,0,0,0,0,0,0
122,2605.0,5,20,29.990990990990987,2,1961,0,827.0,1,0,1,0,0,1,69.0,0,9945,0,1,1,0,0,0,0
123,2526.0,5,24,29.607361963190183,2,1950,0,0.0,1,1,1,0,0,1,56.0,0,8960,0,0,0,0,0,0,0
124,2279.0,5,20,29.607361963190183,2,1950,0,312.0,1,1,1,0,0,1,50.0,0,3500,1,0,0,0,0,0,0
125,6078.0,9,26,37.70588235294117,3,1977,0,410.0,1,0,0,0,1,1,69.0,0,24572,2,0,1,0,0,0,0
126,2659.0,8,30,34.913793103448285,3,2004,1,0.0,3,1,0,0,1,0,74.0,0,9056,1,0,0,0,0,0,0
127,2929.0,7,27,35.43661971830985,2,1990,0,0.0,1,1,0,0,0,0,70.0,0,12320,1,0,0,0,1,0,1
128,3231.0,6,25,34.913793103448285,2,1998,1,700.0,1,1,0,0,1,0,60.0,0,8238,1,0,0,0,0,0,0
129,2848.0,5,24,25.6231884057971,1,1967,0,257.0,2,1,0,0,0,1,75.0,0,6000,1,1,0,0,0,0,0
130,2588.0,7,20,31.882352941176467,2,1977,0,378.0,1,1,0,0,0,1,24.0,0,2529,0,0,0,0,0,0,0
131,3063.0,5,23,29.607361963190183,2,2006,0,0.0,1,1,1,0,1,0,60.0,0,10800,0,0,0,0,1,0,0
132,2779.0,6,24,31.882352941176467,2,1977,0,389.0,1,1,0,0,0,1,24.0,0,2349,1,0,0,0,0,0,0
133,4063.0,8,28,37.70588235294117,3,1993,1,1619.0,4,1,0,0,0,0,32.0,0,10846,1,0,0,0,0,0,0
134,1824.0,5,13,28.17021276595745,2,1950,0,468.0,1,1,0,0,0,1,67.0,0,5604,0,0,0,1,0,0,0
135,2145.0,6,20,28.210526315789476,2,1973,0,458.0,1,0,1,0,0,1,21.0,0,1680,1,0,1,0,0,0,0
136,1976.0,5,15,29.990990990990987,2,1996,0,0.0,1,1,0,0,0,1,54.0,0,6342,0,0,0,1,0,0,0
137,4072.0,8,29,40.459016393442624,3,2006,1,24.0,2,0,0,0,0,0,34.0,1,4590,0,0,0,0,0,0,0
138,6576.0,10,31,39.42105263157895,4,2006,1,0.0,4,0,0,1,1,0,60.0,0,18062,1,1,1,0,0,1,1
139,2852.0,6,17,29.607361963190183,3,2009,1,0.0,1,1,0,0,0,0,60.0,0,12900,1,0,0,1,0,0,0
140,2128.0,4,22,34.913793103448285,2,1951,0,120.0,1,1,1,0,0,1,140.0,0,19138,0,0,0,0,0,0,0
141,3302.0,6,26,34.913793103448285,2,2000,1,732.0,1,1,0,0,1,0,69.0,0,8658,1,0,0,0,0,0,0
142,2444.0,5,22,29.990990990990987,2,2010,0,659.0,1,1,1,0,0,1,69.0,0,6897,1,0,0,0,0,0,0
143,2950.0,5,20,28.17021276595745,2,1998,0,954.0,3,1,0,0,0,1,75.0,0,9525,0,0,0,0,0,0,0
144,4488.0,8,27,36.49230769230768,3,2010,1,1032.0,1,1,0,1,0,0,57.0,0,12853,1,0,0,0,0,0,0
145,2931.0,6,22,29.921052631578952,2,1950,0,425.0,1,1,1,0,0,0,52.0,0,6240,0,0,0,0,1,0,0
146,3271.0,7,22,28.17021276595745,3,2003,0,0.0,0,0,0,0,0,0,64.0,0,7301,0,0,1,0,0,1,0
147,3906.0,6,25,33.87356321839081,2,1981,0,588.0,1,0,0,0,0,1,78.0,0,12090,0,0,1,0,0,0,0
148,3746.0,7,27,34.5,3,2000,1,841.0,1,0,0,0,1,0,69.0,0,8826,1,0,1,0,0,0,0
149,3946.0,4,25,29.607361963190183,2,1950,0,0.0,1,1,1,0,0,1,57.0,0,8094,1,0,0,0,0,0,0
150,2967.0,5,25,30.33225806451613,3,2004,1,644.0,1,0,0,0,0,0,69.0,0,10710,0,1,1,0,0,0,0
151,6106.0,9,30,39.42105263157895,3,2006,1,240.0,3,0,0,1,1,0,85.0,1,16056,1,1,0,0,0,1,0
152,3728.0,6,25,30.33225806451613,2,1957,0,189.0,1,1,0,0,0,1,70.0,0,8400,1,1,0,0,0,0,0
153,3980.0,7,28,34.5,3,1996,1,685.0,3,1,0,0,1,0,90.0,0,11250,1,0,0,0,0,0,0
154,2418.0,5,19,30.33225806451613,2,1985,0,111.0,1,1,0,0,0,1,70.0,0,7535,0,0,0,0,0,0,0
155,3183.0,6,24,34.913793103448285,2,2005,1,918.0,3,1,0,0,0,0,88.0,0,12216,0,0,0,0,0,0,0
156,3046.0,8,21,39.42105263157895,2,1987,0,0.0,1,1,0,0,0,1,30.0,0,3701,0,0,0,0,0,0,0
157,3838.0,6,20,30.33225806451613,2,1964,0,674.0,4,0,0,0,1,1,80.0,0,9760,1,0,1,0,0,0,0
158,2944.0,4,20,29.921052631578952,2,1970,0,789.0,3,0,1,0,0,1,60.0,0,9873,0,0,1,0,0,0,0
159,2817.0,5,23,30.33225806451613,2,1996,0,360.0,1,0,0,0,0,1,72.0,0,10011,0,0,1,0,0,0,0
160,2920.0,5,23,29.990990990990987,2,2007,0,0.0,1,1,0,0,0,0,69.0,0,25339,0,0,0,0,1,0,0
161,4081.0,7,27,33.13793103448276,3,1988,1,608.0,1,0,0,0,1,0,69.0,0,8883,1,0,1,0,0,0,0
162,3224.0,5,13,29.607361963190183,2,1950,0,0.0,1,1,0,0,0,0,50.0,0,3000,0,1,0,1,1,0,0
163,2997.0,7,24,40.459016393442624,3,2004,1,573.0,1,0,0,0,0,0,36.0,1,2448,1,0,0,0,0,1,0
164,1940.0,5,19,30.33225806451613,2,1957,0,708.0,1,1,1,0,0,1,73.0,0,7100,0,0,0,0,0,0,0
165,2166.0,5,21,27.41666666666667,2,1976,0,129.0,1,1,0,0,0,1,36.0,0,2592,1,0,0,0,0,0,0
166,2147.0,7,24,29.607361963190183,2,1950,1,0.0,1,1,1,0,0,0,69.0,0,5700,0,0,0,0,0,0,0
167,2764.0,6,23,31.882352941176467,2,1978,0,311.0,1,1,0,0,0,1,24.0,0,2289,1,0,0,0,0,0,0
168,1876.0,4,18,28.17021276595745,2,1950,0,348.0,1,1,1,0,0,0,60.0,0,12180,0,0,0,0,1,0,0
169,2870.0,5,21,29.990990990990987,2,1984,1,104.0,3,1,0,0,0,0,69.0,0,7400,0,0,0,0,0,0,0
170,1808.0,5,21,28.17021276595745,2,1954,0,0.0,1,1,1,0,0,1,68.0,0,8842,0,0,0,0,0,0,0
171,2918.0,6,23,29.921052631578952,2,1950,1,0.0,1,1,1,0,0,0,60.0,0,8850,0,0,0,0,0,0,0
172,3248.0,7,24,36.49230769230768,3,2010,1,0.0,1,1,0,1,0,0,92.0,0,9215,0,1,0,0,0,0,0
173,3076.0,5,27,30.33225806451613,2,1995,0,386.0,1,0,0,0,0,1,79.0,1,9480,1,0,0,0,0,0,0
174,3556.0,7,24,33.87356321839081,2,1978,0,704.0,1,0,0,0,0,1,82.0,0,11880,0,0,1,0,0,0,0
175,4449.0,7,24,29.607361963190183,2,1999,0,0.0,2,1,1,0,0,0,60.0,0,10800,0,0,0,0,1,0,0
176,2860.0,6,28,34.913793103448285,3,2003,1,457.0,1,1,0,0,1,0,69.0,0,7861,1,0,0,0,0,0,0
177,2752.0,5,21,29.990990990990987,2,1962,0,170.0,1,0,0,0,0,1,69.0,0,11616,0,0,1,0,0,0,0
178,5983.0,7,27,38.60416666666666,3,1994,1,1173.0,4,0,0,0,1,0,96.0,0,10542,1,1,1,0,0,0,0
179,2513.0,6,20,28.210526315789476,2,1971,0,156.0,1,0,1,0,0,1,21.0,0,1680,1,0,1,0,0,0,0
180,2878.0,4,23,28.17021276595745,2,2004,1,0.0,1,1,0,0,0,0,80.0,0,8546,0,0,0,0,0,0,0
181,3387.0,6,19,29.607361963190183,2,1996,0,600.0,1,1,0,0,0,1,90.0,0,7407,0,0,0,0,0,0,0
182,2713.0,5,23,33.87356321839081,2,1975,0,788.0,1,1,0,0,0,1,78.0,0,10140,1,0,0,0,0,0,0
183,1220.0,1,7,25.6231884057971,1,1952,0,0.0,0,1,0,0,0,0,80.0,0,14584,0,0,0,0,0,0,0
184,3510.0,7,24,34.5,3,2003,1,550.0,1,0,0,0,1,0,65.0,0,8158,1,0,1,0,0,0,0
185,3158.0,7,27,36.49230769230768,3,2005,1,0.0,1,1,0,0,0,0,62.0,0,7500,0,0,0,0,0,0,0
186,5466.0,8,27,38.60416666666666,3,2000,1,700.0,1,0,0,0,0,0,85.0,0,10678,1,1,1,0,0,0,0
187,4115.0,8,24,36.49230769230768,3,2007,1,929.0,4,0,0,0,0,0,49.0,1,15256,0,0,0,0,0,0,0
188,4048.0,7,27,30.33225806451613,2,1966,0,445.0,1,0,0,0,1,1,88.0,0,14200,1,0,1,0,0,0,0
189,5366.0,8,31,39.42105263157895,4,2006,1,0.0,1,0,0,1,1,0,82.0,0,12438,1,1,1,0,0,1,0
190,5685.0,9,30,39.42105263157895,3,2006,1,1218.0,4,0,0,1,1,0,59.0,0,16023,1,1,1,0,0,1,1
191,3884.0,8,27,33.814814814814824,3,1976,0,51.0,4,1,0,0,0,1,155.0,0,20064,1,0,0,0,0,0,0
192,4144.0,6,24,31.02439024390244,2,1977,1,1567.0,4,1,0,0,0,0,69.0,0,9819,0,0,0,0,0,0,0
193,3128.0,7,24,33.87356321839081,2,1976,0,0.0,1,0,0,0,0,1,80.0,0,10400,0,0,1,0,0,0,0
194,5218.0,5,20,30.33225806451613,2,1969,0,500.0,1,0,1,0,0,1,91.0,0,11643,2,0,1,0,0,0,0
195,4368.0,8,26,34.5,3,2006,1,1122.0,4,0,0,1,0,0,78.0,0,11645,1,1,1,0,0,0,0
196,3921.0,7,24,33.13793103448276,3,2009,1,0.0,1,0,0,1,0,0,61.0,0,7328,0,0,1,0,0,0,0
197,2906.0,6,16,28.17021276595745,2,1950,0,0.0,1,1,1,0,0,0,72.0,0,7822,0,0,0,0,1,0,0
198,2708.0,7,28,34.913793103448285,3,2007,1,0.0,3,1,0,1,1,0,65.0,0,9018,1,1,0,0,0,0,0
199,7027.0,10,31,40.459016393442624,4,2003,1,56.0,4,0,0,0,0,0,103.0,0,13472,0,1,1,0,0,0,0
200,2028.0,4,21,27.41666666666667,2,1970,0,503.0,3,1,0,0,0,1,69.0,0,1533,0,0,0,0,0,1,0
201,4216.0,10,31,36.49230769230768,4,2008,1,765.0,3,0,0,0,1,0,85.0,1,11003,1,0,0,0,0,0,0
202,4484.0,7,27,38.60416666666666,3,1998,1,0.0,1,0,0,0,1,0,83.0,0,10790,1,0,1,0,0,1,0
203,2930.0,7,25,35.43661971830985,2,1950,0,364.0,1,1,1,0,0,1,53.0,0,7128,0,0,0,0,0,0,0
204,2724.0,7,24,34.913793103448285,3,2007,1,0.0,1,0,0,1,1,0,64.0,1,7713,1,0,0,0,0,0,0
205,2530.0,5,20,29.921052631578952,2,1980,0,276.0,1,1,1,0,0,1,52.0,0,6240,0,0,0,0,0,0,0
206,4858.0,6,24,35.43661971830985,2,1950,0,1128.0,1,1,1,0,0,0,86.0,0,22420,1,1,0,0,1,0,0
207,2860.0,5,23,31.02439024390244,2,1977,0,42.0,1,1,0,0,0,1,85.0,0,15300,0,1,0,0,0,0,0
